city,id,lat,long,date,n,variants
Aachen,3247449,50.77664,6.08342,1773,2,Aachen
Aachen,3247449,50.77664,6.08342,1774,2,Aachen
Aachen,3247449,50.77664,6.08342,1781,2,Aachen
Aachen,3247449,50.77664,6.08342,1790,1,Aachen
Aachen,3247449,50.77664,6.08342,1799,1,Aachen
Alcalá de Henares,3130616,40.48205,-3.35996,1725,4,Alcala|Alcala
Alcalá de Henares,3130616,40.48205,-3.35996,1727,2,Alcala|Alcala
Alcalá de Henares,3130616,40.48205,-3.35996,1728,4,Alcala|Alcala
Alcalá de Henares,3130616,40.48205,-3.35996,1791,2,Alcala|Alcala
Alcalá de Henares,3130616,40.48205,-3.35996,1794,1,Alcalá
Altdorf,2958024,49.3856,11.3573,1700,9,Altdorf|Altdorffii|Altdorfi|Altdorfii|Altorfi|Altorfii
Altdorf,2958024,49.3856,11.3573,1701,4,Altdorfii|[Altdorf]
Altdorf,2958024,49.3856,11.3573,1702,5,Altdorfi|Altdorfii|Altorfii
Altdorf,2958024,49.3856,11.3573,1703,13,Altdorfi|Altdorfii|Altdorfii Noricorum|[S.l. Altdorf]
Altdorf,2958024,49.3856,11.3573,1704,7,Altdorf|Altdorfi|Altdorfii|Altorfii
Altdorf,2958024,49.3856,11.3573,1705,6,Altdorfii
Altdorf,2958024,49.3856,11.3573,1706,7,Altdorfi|Altdorfii|Altorfii|[Altdorf]
Altdorf,2958024,49.3856,11.3573,1707,10,"Altdorf|Altdorfii|Altdorfii Noricum|Altorfii|[Altdorf / Franken]|[Altdorf, Franken]"
Altdorf,2958024,49.3856,11.3573,1708,6,Altdorfii|Altdorfii Noricum|Altorfii
Altdorf,2958024,49.3856,11.3573,1709,9,Altdorfii|Altorfi|Altorfii
Altdorf,2958024,49.3856,11.3573,1710,9,Altdorfii|Altorfi Noricorvm|Altorfii|Altorfii Noric|[Altdorf]|[Altdorfi]
Altdorf,2958024,49.3856,11.3573,1711,7,"Altdorfi|Altdorfii|Altorfi|Altorfii|Altorfii, Nor."
